Year,Prov,Api,Sawit,D1,D2,D3
2011,1,89,687892,0,0,0
2012,1,11.25,657929,0,0,0
2013,1,199.1,688810,0,0,0
2011,2,50,885075,0,0,0
2012,2,577.4,914835,0,0,0
2013,2,22.7,959226,0,0,0
2011,3,30,423208,1,0,0
2012,3,60.5,475739,0,0,0
2013,3,417.5,499873,0,0,0
2011,4,22,1024973,0,0,0
2012,4,55.15,1099692,0,0,0
2013,4,3.1,1156653,0,0,0
2011,5,148.8,716662,0,0,0
2012,5,51.5,816257,0,0,0
2013,5,100,856091,0,0,1
2011,6,74.5,2037733,0,0,0
2012,6,1060,2193721,0,0,0
2013,6,1077.5,2296849,0,0,0
2011,7,31.75,41982,0,0,0
2012,7,45.3,36262,0,0,0
2013,7,40.5,37806,0,0,0
2011,8,1,112661,0,0,0
2012,8,30.83,140882,0,0,0
2013,8,1,147757,0,0,0
2011,9,85.9,376858,0,0,0
2012,9,346.1,364208,0,0,0
2013,9,13,381754,0,0,0
2011,10,84.5,821391,0,0,0
2012,10,40,1060573,0,1,0
2013,10,484.15,1111050,0,0,0
2011,11,5,1192466,0,0,0
2012,11,1181,1340348,0,0,0
2013,11,295.4,1392532,0,0,0
