Year,Prov,Api,Sawit
2011,1,89,687892
2012,1,11.25,657929
2013,1,199.1,688810
2011,2,50,885075
2012,2,577.4,914835
2013,2,22.7,959226
2012,3,60.5,475739
2013,3,417.5,499873
2011,4,22,1024973
2012,4,55.15,1099692
2013,4,3.1,1156653
2011,5,148.8,716662
2012,5,51.5,816257
2011,6,74.5,2037733
2012,6,1060,2193721
2013,6,1077.5,2296849
2011,7,31.75,41982
2012,7,45.3,36262
2013,7,40.5,37806
2011,8,1,112661
2012,8,30.83,140882
2013,8,1,147757
2011,9,85.9,376858
2012,9,346.1,364208
2013,9,13,381754
2011,10,84.5,821391
2013,10,484.15,1111050
2011,11,5,1192466
2012,11,1181,1340348
2013,11,295.4,1392532
